Company,Ticker,Earning Time,Earning Score,Starting Week,Earning Date,Market Time,Left-day Open,Right-day Open,Left-day Close,Right-day Close,Left-day High,Right-day High,Left-day Low,Right-day Low,Close diff,Hi-lo diff,Change,Predict,DIFF,True Label
Whirlpool,WHR,Wed after market,-2,2021-01-25,2021-01-27,AFH,201.18,202.46,208.48,191.01,210.72,202.46,200.23,187.71,-8.379700690713744,1.113719222893672,BEAR,NEUTRAL,1.113719222893672,NEUTRAL
Facebook,FB,Wed after market,2,2021-01-25,2021-01-27,AFH,282.53,277.18,272.14,265.0,283.45,286.79,268.12,264.7,-2.623649592121702,6.963300014918694,BEAR,NEUTRAL,6.963300014918694,BULL
Brinker,EAT,Wed before market,-18,2021-01-25,2021-01-27,PREMARKET,65.07,60.0,62.58,55.28,66.0,62.03,61.79,54.76,-11.665068712048576,0.3884123644602777,BEAR,NEUTRAL,0.3884123644602777,NEUTRAL
Apple,AAPL,Wed after market,-9,2021-01-25,2021-01-27,AFH,142.97,139.08,141.61,136.65,143.84,141.54,139.96,136.26,-3.502577501588877,1.1288939697056133,BEAR,NEUTRAL,1.1288939697056133,NEUTRAL
Anthem,ANTM,Wed before market,10,2021-01-25,2021-01-27,PREMARKET,315.63,301.79,310.58,288.37,316.33,306.86,307.93,286.22,-7.151136583166973,-0.3474815704867962,BEAR,NEUTRAL,-0.3474815704867962,NEUTRAL
Principal Financial,PFG,Thu after market,-60,2021-01-25,2021-01-28,AFH,51.05,49.81,51.57,48.35,52.13,50.52,50.9,47.97,-6.2439402753538875,-0.746561886051067,BEAR,BEAR,-0.746561886051067,NEUTRAL
JetBlue,JBLU,Thu before market,-7,2021-01-25,2021-01-28,PREMARKET,14.53,15.15,14.68,14.65,15.1,15.7,14.52,14.58,-0.2043596730245234,8.1267217630854,NEUTRAL,NEUTRAL,8.1267217630854,BULL
Canon,CAJ,Thu before market,-6,2021-01-25,2021-01-28,PREMARKET,23.53,23.83,23.8,23.11,24.22,23.93,23.49,23.1,-2.899159663865547,1.8731375053214094,BEAR,NEUTRAL,1.8731375053214094,NEUTRAL
McDonalds,MCD,Thu before market,6,2021-01-25,2021-01-28,PREMARKET,208.79,205.09,203.49,203.31,209.53,206.79,203.49,201.65,-0.08845643520566382,1.6217013121037738,NEUTRAL,NEUTRAL,1.6217013121037738,NEUTRAL
Altria,MO,Thu before market,22,2021-01-25,2021-01-28,PREMARKET,40.53,40.4,40.4,41.2,41.05,41.58,40.26,40.36,1.980198019801982,3.2786885245901676,NEUTRAL,NEUTRAL,3.2786885245901676,BULL
Sherwin-Williams,SHW,Thu before market,63,2021-01-25,2021-01-28,PREMARKET,237.96,236.8,237.69,235.87,239.41,239.63,233.71,229.15,-0.7657032268921671,2.533053784604844,NEUTRAL,BULL,2.533053784604844,BULL
Black & Decker,SWK,Thu before market,-52,2021-01-25,2021-01-28,PREMARKET,171.73,177.9,171.42,178.02,173.36,181.07,167.62,173.92,3.850192509625505,8.024102135783306,BULL,BEAR,8.024102135783306,BULL
McCormick,MKC,Thu before market,-61,2021-01-25,2021-01-28,PREMARKET,95.13,90.3,93.35,90.32,98.04,94.26,93.24,88.97,-3.245848955543651,1.0939510939510955,BEAR,BEAR,1.0939510939510955,NEUTRAL
Ethan Allen,ETH,Thu after market,49,2021-01-25,2021-01-28,AFH,23.02,23.98,22.88,22.24,23.42,24.49,22.26,22.24,-2.7972027972028024,10.017969451931696,BEAR,NEUTRAL,10.017969451931696,BULL
Visa,V,Thu after market,7,2021-01-25,2021-01-28,AFH,199.13,196.96,197.36,192.41,201.12,202.17,197.31,191.97,-2.5081070125658744,2.4631290862095145,BEAR,NEUTRAL,2.4631290862095145,BULL
American Airlines,AAL,Thu before market,-35,2021-01-25,2021-01-28,PREMARKET,15.42,20.33,16.56,18.1,17.81,21.77,15.38,16.82,9.29951690821258,41.54746423927178,BULL,NEUTRAL,41.54746423927178,BULL
Southwest,LUV,Thu before market,-23,2021-01-25,2021-01-28,PREMARKET,45.25,45.16,44.15,44.6,45.7,46.25,43.87,44.33,1.0192525481313774,5.425119671757472,NEUTRAL,NEUTRAL,5.425119671757472,BULL
Phillips 66,PSX,Fri before market,13,2021-01-25,2021-01-29,PREMARKET,69.27,66.95,69.02,65.5,70.15,68.98,68.16,65.1,-5.099971022891914,1.2030516431924987,BEAR,NEUTRAL,1.2030516431924987,NEUTRAL
Church & Dwight,CHD,Fri before market,-23,2021-01-25,2021-01-29,PREMARKET,86.76,85.76,86.14,83.68,87.99,86.72,85.94,83.58,-2.8558161133039217,0.9076099604375054,BEAR,NEUTRAL,0.9076099604375054,NEUTRAL
Chevron,CVX,Fri before market,34,2021-01-25,2021-01-29,PREMARKET,85.23,83.46,85.56,81.89,86.65,83.95,84.82,81.62,-4.289387564282377,-1.0257014854986868,BEAR,NEUTRAL,-1.0257014854986868,NEUTRAL
UPS,UPS,Tue before market,-32,2021-02-01,2021-02-02,PREMARKET,153.67,160.55,153.72,157.69,154.6,161.54,152.4,154.38,2.582617746552174,5.997375328083976,BULL,NEUTRAL,5.997375328083976,BULL
Alibaba,BABA,Tue before market,-53,2021-02-01,2021-02-02,PREMARKET,258.8,264.57,264.69,254.5,265.0,265.0,255.2,254.04,-3.8497865427481237,3.840125391849525,BEAR,BEAR,3.840125391849525,BULL
Sirius XM,SIRI,Tue before market,-69,2021-02-01,2021-02-02,PREMARKET,6.32,6.26,6.23,6.17,6.37,6.28,6.13,5.95,-0.9630818619582704,2.4469820554649413,NEUTRAL,BEAR,2.4469820554649413,BULL
Amazon,AMZN,Tue after market,-28,2021-02-01,2021-02-02,AFH,3380.0,3425.01,3380.0,3312.53,3427.74,3434.0,3361.13,3308.62,-1.9961538461538364,2.168020873932286,NEUTRAL,NEUTRAL,2.168020873932286,BULL
Chipotle,CMG,Tue after market,-28,2021-02-01,2021-02-02,AFH,1525.06,1495.02,1523.05,1499.99,1553.55,1529.5,1521.6,1461.3,-1.5140671678539719,0.5191903259726738,NEUTRAL,NEUTRAL,0.5191903259726738,NEUTRAL
Marathon,MPC,Tue before market,25,2021-02-01,2021-02-02,PREMARKET,42.43,43.08,42.12,43.77,42.71,45.0,41.03,42.67,3.917378917378933,9.675846941262488,BULL,NEUTRAL,9.675846941262488,BULL
Harley,HOG,Tue before market,39,2021-02-01,2021-02-02,PREMARKET,40.22,33.84,39.86,33.02,40.64,35.54,39.01,30.97,-17.16006021073757,-8.895155088438855,BEAR,NEUTRAL,-8.895155088438855,BEAR
AFLAC,AFL,Wed after market,0,2021-02-01,2021-02-03,AFH,45.15,45.21,45.04,44.9,45.28,45.78,44.69,44.69,-0.3108348134991168,2.4390243902439046,NEUTRAL,NEUTRAL,2.4390243902439046,BULL
Angie's List,ANGI,Wed after market,47,2021-02-01,2021-02-03,AFH,15.47,14.47,15.14,14.02,15.8,14.96,14.93,13.91,-7.3976221928665815,0.20093770931011168,BEAR,NEUTRAL,0.20093770931011168,NEUTRAL
Amerco,UHAL,Wed after market,70,2021-02-01,2021-02-03,AFH,476.55,484.58,481.57,495.17,487.47,519.49,470.72,484.58,2.8240961853936097,10.360723997280763,BULL,BULL,10.360723997280763,BULL
eBay,EBAY,Wed after market,-45,2021-02-01,2021-02-03,AFH,57.74,63.57,57.68,60.74,58.44,64.45,57.31,60.3,5.30513176144245,12.458558715756407,BULL,NEUTRAL,12.458558715756407,BULL
PayPal,PYPL,Wed after market,-47,2021-02-01,2021-02-03,AFH,253.96,265.34,251.9,270.43,254.32,274.94,247.39,260.85,7.35609368797141,11.1362625813493,BULL,NEUTRAL,11.1362625813493,BULL
Allstate,ALL,Wed after market,-48,2021-02-01,2021-02-03,AFH,107.81,106.8,106.93,105.1,108.74,107.57,106.35,104.06,-1.711399981296191,1.1471556182416576,NEUTRAL,NEUTRAL,1.1471556182416576,NEUTRAL
GrubHub,GRUB,Wed after market,-65,2021-02-01,2021-02-03,AFH,22.31,21.69,22.3,21.73,22.7,22.1,22.24,21.5,-2.556053811659198,-0.6294964028776828,BEAR,BEAR,-0.6294964028776828,NEUTRAL
Netgear,NTGR,Wed after market,-6,2021-02-01,2021-02-03,AFH,43.41,40.83,41.58,39.74,43.99,41.0,41.3,38.3,-4.425204425204421,-0.7263922518159771,BEAR,NEUTRAL,-0.7263922518159771,NEUTRAL
Spotify,SPOT,Wed before market,50,2021-02-01,2021-02-03,PREMARKET,339.68,321.5,345.05,317.25,350.25,327.3,338.85,310.7,-8.056803361831621,-3.408587870739266,BEAR,NEUTRAL,-3.408587870739266,BEAR
Peloton,PTON,Thu after market,-16,2021-02-01,2021-02-04,AFH,148.57,149.0,157.53,148.3,157.83,151.79,148.01,142.7,-5.859201421951365,2.553881494493626,BEAR,NEUTRAL,2.553881494493626,BULL
GoPro,GPRO,Thu after market,-15,2021-02-01,2021-02-04,AFH,10.66,9.32,10.37,8.39,10.75,9.58,10.05,8.2,-19.093539054966236,-4.676616915422893,BEAR,NEUTRAL,-4.676616915422893,BEAR
Ford,F,Thu after market,-40,2021-02-01,2021-02-04,AFH,11.4,11.8,11.37,11.51,11.62,11.9,11.17,11.3,1.2313104661389573,6.535362578334825,NEUTRAL,NEUTRAL,6.535362578334825,BULL
SkyWest,SKYW,Thu after market,-75,2021-02-01,2021-02-04,AFH,41.89,43.42,44.36,43.04,45.13,43.71,41.89,40.58,-2.975653742110007,4.344712341847701,BEAR,BEAR,4.344712341847701,BULL
Pinterest,PINS,Thu after market,17,2021-02-01,2021-02-04,AFH,78.78,86.2,77.84,81.96,79.15,86.49,75.05,79.7,5.292908530318585,15.243171219187213,BULL,NEUTRAL,15.243171219187213,BULL
Skechers,SKX,Thu after market,8,2021-02-01,2021-02-04,AFH,36.48,34.09,37.18,37.25,37.93,37.65,36.22,34.05,0.18827326519634813,3.94809497515185,NEUTRAL,NEUTRAL,3.94809497515185,BULL
Canada Goose,GOOS,Thu before market,-4,2021-02-01,2021-02-04,PREMARKET,35.14,40.6,35.17,42.9,35.94,45.6,34.91,40.13,21.978959340346883,30.621598395875125,BULL,NEUTRAL,30.621598395875125,BULL
Polo,RL,Thu before market,-9,2021-02-01,2021-02-04,PREMARKET,103.06,102.83,104.59,107.21,105.98,108.71,103.06,99.76,2.505019600344194,5.482243353386362,BULL,NEUTRAL,5.482243353386362,BULL
Yum,YUM,Thu before market,-33,2021-02-01,2021-02-04,PREMARKET,104.46,104.11,103.41,101.69,104.81,104.55,103.41,101.56,-1.6632820810366544,1.1024078909196433,NEUTRAL,NEUTRAL,1.1024078909196433,NEUTRAL
Snap-On,SNA,Thu before market,-57,2021-02-01,2021-02-04,PREMARKET,175.65,185.59,174.35,185.7,175.65,190.3,172.84,183.79,6.509893891597351,10.101828280490622,BULL,BEAR,10.101828280490622,BULL
Coach,TPR,Thu before market,-69,2021-02-01,2021-02-04,PREMARKET,33.89,35.98,34.39,35.96,34.88,36.34,33.82,34.08,4.565280604826993,7.451212300413967,BULL,BEAR,7.451212300413967,BULL
Clorox,CLX,Thu before market,-71,2021-02-01,2021-02-04,PREMARKET,202.21,194.44,202.12,189.34,202.55,197.64,198.36,189.24,-6.322976449633877,-0.3629764065335883,BEAR,BEAR,-0.3629764065335883,NEUTRAL
Snapchat,SNAP,Thu after market,12,2021-02-01,2021-02-04,AFH,60.13,56.39,58.31,63.64,60.33,64.44,58.31,55.51,9.140799176813585,10.512776539187097,BULL,NEUTRAL,10.512776539187097,BULL
Pandora Jewelry,PANDY,Thu before market,-3,2021-02-01,2021-02-04,PREMARKET,24.6,23.67,24.62,23.19,24.65,23.67,24.53,23.16,-5.80828594638505,-3.505911129229511,BEAR,NEUTRAL,-3.505911129229511,BEAR
