Company,Ticker,Earning Time,Earning Score,Starting Week,Earning Date,Market Time,Left-day Open,Right-day Open,Left-day Close,Right-day Close,Left-day High,Right-day High,Left-day Low,Right-day Low,Close diff,Hi-lo diff,Change,Predict,DIFF,True Label
Citigroup,C,"Tue beforemarket",33,2020-01-13,2020-01-14,PREMARKET,74.69,76.29,75.77,76.95,75.84,78.08,74.22,76.07,1.557344595486354,5.200754513608197,NEUTRAL,NEUTRAL,5.200754513608197,BULL
Delta,DAL,"Tue beforemarket",-12,2020-01-13,2020-01-14,PREMARKET,58.62,61.61,59.08,61.03,59.29,61.82,58.62,60.44,3.300609343263372,5.4588877516206225,BULL,NEUTRAL,5.4588877516206225,BULL
U.S. Bank,USB,"Wed beforemarket",44,2020-01-13,2020-01-15,PREMARKET,53.43,52.28,53.33,51.81,53.91,52.61,53.22,51.35,-2.8501781361334966,-1.1461856444945462,BEAR,NEUTRAL,-1.1461856444945462,NEUTRAL
IBM,IBM,"Tue aftermarket",-39,2020-01-20,2020-01-21,AFH,126.33,131.39,127.58,131.91,127.75,133.65,126.14,130.68,3.393948894811105,5.953702235611225,BULL,NEUTRAL,5.953702235611225,BULL
Netflix,NFLX,"Tue aftermarket",-21,2020-01-20,2020-01-21,AFH,340.0,332.55,338.11,326.0,341.0,336.3,332.59,323.6,-3.581674602939877,1.115487537207982,BEAR,NEUTRAL,1.115487537207982,NEUTRAL
United Air,UAL,"Tue aftermarket",31,2020-01-20,2020-01-21,AFH,87.88,86.75,85.79,83.34,88.0,87.57,84.57,83.15,-2.855810700547856,3.5473572188719382,BEAR,NEUTRAL,3.5473572188719382,BULL
5/3 Bank,FITB,"Wed beforemarket",-57,2020-01-20,2020-01-22,PREMARKET,27.51,27.34,27.13,27.43,27.51,27.49,27.13,26.7,1.1057869517139718,1.3269443420567573,NEUTRAL,BEAR,1.3269443420567573,NEUTRAL
Citrix,CTXS,"Wed aftermarket",-11,2020-01-20,2020-01-22,AFH,116.05,121.04,117.17,126.34,117.63,128.37,116.05,120.16,7.8262353844840815,10.616113744075829,BULL,NEUTRAL,10.616113744075829,BULL
JetBlue,JBLU,"Thu beforemarket",-8,2020-01-20,2020-01-23,PREMARKET,19.29,19.85,19.79,21.07,20.11,21.15,19.25,19.76,6.467913087417898,9.870129870129873,BULL,NEUTRAL,9.870129870129873,BULL
Kimberly-Clark,KMB,"Thu beforemarket",-4,2020-01-20,2020-01-23,PREMARKET,138.24,133.68,137.76,138.01,139.13,142.38,137.72,131.95,0.18147502903600454,3.3836770258495408,NEUTRAL,NEUTRAL,3.3836770258495408,BULL
Discover,DFS,"Thu aftermarket",-24,2020-01-20,2020-01-23,AFH,81.32,74.79,82.19,73.03,82.19,75.81,80.67,72.76,-11.144908139676357,-6.0245444403123845,BEAR,NEUTRAL,-6.0245444403123845,BEAR
Southwest,LUV,"Thu beforemarket",-17,2020-01-20,2020-01-23,PREMARKET,53.69,52.8,53.27,55.19,54.07,55.25,53.26,51.65,3.604280082598077,3.7363875328576768,BULL,NEUTRAL,3.7363875328576768,BULL
American Airlines,AAL,"Thu beforemarket",-37,2020-01-20,2020-01-23,PREMARKET,27.41,27.29,27.22,28.69,27.81,28.88,27.2,25.94,5.400440852314481,6.176470588235294,BULL,NEUTRAL,6.176470588235294,BULL
AMEX,AXP,"Fri beforemarket",-6,2020-01-20,2020-01-24,PREMARKET,128.23,133.21,128.34,131.99,128.53,134.94,127.14,130.76,2.8440081034751374,6.134969325153361,BULL,NEUTRAL,6.134969325153361,BULL
Sirius XM,SIRI,"Tue beforemarket",6,2020-02-03,2020-02-04,PREMARKET,7.0,7.12,7.07,7.11,7.1,7.2,6.98,7.04,0.5657708628005631,3.151862464183375,NEUTRAL,NEUTRAL,3.151862464183375,BULL
Pandora Jewelry,PANDY,"Tue beforemarket",-8,2020-02-03,2020-02-04,PREMARKET,12.09,11.92,12.24,12.0,12.34,12.0,12.09,11.86,-1.9607843137254943,-0.7444168734491274,NEUTRAL,NEUTRAL,-0.7444168734491274,NEUTRAL
Royal Caribbean,RCL,"Tue beforemarket",-8,2020-02-03,2020-02-04,PREMARKET,115.22,120.77,115.31,116.84,118.2,120.9,113.14,115.56,1.3268580348625436,6.858759059572206,NEUTRAL,NEUTRAL,6.858759059572206,BULL
Polo,RL,"Tue beforemarket",-10,2020-02-03,2020-02-04,PREMARKET,112.4,122.1,111.51,121.77,112.86,124.99,111.36,118.15,9.200968523002405,12.239583333333325,BULL,NEUTRAL,12.239583333333325,BULL
Clorox,CLX,"Tue beforemarket",-18,2020-02-03,2020-02-04,PREMARKET,152.55,153.64,150.79,158.32,153.71,159.66,149.87,153.35,4.993699847470001,6.532328017615252,BULL,NEUTRAL,6.532328017615252,BULL
Ford,F,"Tue aftermarket",47,2020-02-03,2020-02-04,AFH,9.08,8.41,9.18,8.31,9.24,8.48,9.07,8.26,-9.477124183006524,-6.504961411245869,BEAR,NEUTRAL,-6.504961411245869,BEAR
Allstate,ALL,"Tue aftermarket",37,2020-02-03,2020-02-04,AFH,115.37,116.25,115.17,119.7,116.33,119.96,115.13,116.25,3.933315967699924,4.195257534960484,BULL,NEUTRAL,4.195257534960484,BULL
AFLAC,AFL,"Tue aftermarket",44,2020-02-03,2020-02-04,AFH,50.14,50.28,49.82,50.88,50.44,50.88,49.82,50.06,2.1276595744680993,2.1276595744680993,BULL,NEUTRAL,2.1276595744680993,BULL
Boot Barn,BOOT,"Tue aftermarket",21,2020-02-03,2020-02-04,AFH,42.77,37.33,42.26,38.1,43.15,39.48,41.42,35.18,-9.843823946994789,-4.683727667793347,BEAR,NEUTRAL,-4.683727667793347,BEAR
Snapchat,SNAP,"Tue aftermarket",3,2020-02-03,2020-02-04,AFH,18.48,18.02,18.98,16.19,19.03,18.08,18.23,16.11,-14.699683877766068,-0.8228195282501516,BEAR,NEUTRAL,-0.8228195282501516,NEUTRAL
Chipotle,CMG,"Tue aftermarket",-18,2020-02-03,2020-02-04,AFH,876.01,892.0,884.82,854.01,890.17,893.02,873.64,851.36,-3.482064148640407,2.2183050226638024,BEAR,NEUTRAL,2.2183050226638024,BULL
Ethan Allen,ETH,"Tue aftermarket",37,2020-02-03,2020-02-04,AFH,14.58,13.76,14.18,13.49,14.61,14.1,14.17,12.67,-4.866008462623405,-0.49400141143260967,BEAR,NEUTRAL,-0.49400141143260967,NEUTRAL
Spirit Air,SAVE,"Wed aftermarket",-17,2020-02-03,2020-02-05,AFH,44.0,46.5,44.44,42.8,44.7,47.5,43.41,42.49,-3.6903690369036957,9.421792213775637,BEAR,NEUTRAL,9.421792213775637,BULL
GoPro,GPRO,"Wed aftermarket",-7,2020-02-03,2020-02-05,AFH,4.2,3.8,4.36,3.96,4.38,4.0,4.18,3.71,-9.174311926605515,-4.306220095693769,BEAR,NEUTRAL,-4.306220095693769,BEAR
Peloton,PTON,"Wed aftermarket",-12,2020-02-03,2020-02-05,AFH,34.04,29.94,32.7,29.0,34.09,30.75,31.64,28.82,-11.314984709480125,-2.8128950695322397,BEAR,NEUTRAL,-2.8128950695322397,BEAR
Netgear,NTGR,"Wed aftermarket",8,2020-02-03,2020-02-05,AFH,26.16,24.5,25.94,24.79,26.16,25.56,25.24,24.25,-4.43330763299924,1.267828843106189,BEAR,NEUTRAL,1.267828843106189,NEUTRAL
iRobot,IRBT,"Wed aftermarket",4,2020-02-03,2020-02-05,AFH,49.09,51.39,49.11,57.82,49.8,58.75,48.07,51.33,17.73569537772348,22.21759933430414,BULL,NEUTRAL,22.21759933430414,BULL
Amerco,UHAL,"Wed aftermarket",27,2020-02-03,2020-02-05,AFH,372.33,351.62,365.53,345.64,376.39,359.67,365.53,331.17,-5.441413837441522,-1.603151588104934,BEAR,NEUTRAL,-1.603151588104934,NEUTRAL
GM,GM,"Wed beforemarket",-36,2020-02-03,2020-02-05,PREMARKET,33.94,34.48,33.96,34.61,34.4,35.02,33.79,33.78,1.9140164899882128,3.6401302160402604,NEUTRAL,NEUTRAL,3.6401302160402604,BULL
Spotify,SPOT,"Wed beforemarket",63,2020-02-03,2020-02-05,PREMARKET,149.05,150.0,154.31,147.0,156.0,152.0,148.65,145.36,-4.737217289871043,2.253615876219306,BEAR,BULL,2.253615876219306,BULL
Sonos,SONO,"Wed aftermarket",-27,2020-02-03,2020-02-05,AFH,14.64,15.25,14.1,15.76,14.75,16.88,14.08,15.2,11.773049645390078,19.886363636363626,BULL,NEUTRAL,19.886363636363626,BULL
Toyota,TM,"Thu beforemarket",-12,2020-02-03,2020-02-06,PREMARKET,135.47,137.18,135.01,137.04,135.47,137.55,134.76,136.29,1.5035923264943296,2.0703472840605697,NEUTRAL,NEUTRAL,2.0703472840605697,BULL
Coach,TPR,"Thu beforemarket",65,2020-02-03,2020-02-06,PREMARKET,27.02,29.25,27.82,28.42,27.89,29.79,26.99,28.4,2.1567217828900143,10.37421267135976,BULL,BULL,10.37421267135976,BULL
Kellogg,K,"Thu beforemarket",-14,2020-02-03,2020-02-06,PREMARKET,64.59,60.28,65.1,59.56,65.33,62.3,64.59,59.27,-8.509984639016889,-3.5454404706610987,BEAR,NEUTRAL,-3.5454404706610987,BEAR
Yum,YUM,"Thu beforemarket",-24,2020-02-03,2020-02-06,PREMARKET,104.07,98.81,103.45,100.5,104.26,100.84,102.43,97.95,-2.8516191396810053,-1.5522796055843058,BEAR,NEUTRAL,-1.5522796055843058,NEUTRAL
Snap-On,SNA,"Thu beforemarket",-51,2020-02-03,2020-02-06,PREMARKET,155.93,158.08,156.35,152.84,157.68,158.12,155.1,150.88,-2.2449632235369332,1.9471308833010958,BEAR,BEAR,1.9471308833010958,NEUTRAL
Skechers,SKX,"Thu aftermarket",18,2020-02-03,2020-02-06,AFH,38.4,43.35,37.97,39.51,38.66,44.5,37.67,39.47,4.055833552804833,18.131138837271045,BULL,NEUTRAL,18.131138837271045,BULL
Uber,UBER,"Thu aftermarket",1,2020-02-03,2020-02-06,AFH,37.3,39.98,37.09,40.63,37.39,41.0,36.73,38.86,9.544351577244537,11.625374353389617,BULL,NEUTRAL,11.625374353389617,BULL
Take-Two,TTWO,"Thu aftermarket",-38,2020-02-03,2020-02-06,AFH,121.05,116.0,127.74,112.6,128.05,117.66,121.05,112.58,-11.852199780804762,-2.8004956629491984,BEAR,NEUTRAL,-2.8004956629491984,BEAR
Pinterest,PINS,"Thu aftermarket",-41,2020-02-03,2020-02-06,AFH,22.19,26.99,23.01,25.2,23.3,27.25,21.91,25.19,9.51760104302477,24.37243267914195,BULL,NEUTRAL,24.37243267914195,BULL
Hanes,HBI,"Fri beforemarket",-26,2020-02-03,2020-02-07,PREMARKET,13.7,13.47,13.39,13.19,13.82,14.28,13.38,13.05,-1.4936519790888836,6.726457399103136,NEUTRAL,NEUTRAL,6.726457399103136,BULL
Canada Goose,GOOS,"Fri beforemarket",-4,2020-02-03,2020-02-07,PREMARKET,32.39,30.89,33.3,31.84,33.3,32.46,32.1,30.57,-4.384384384384377,1.121495327102795,BEAR,NEUTRAL,1.121495327102795,NEUTRAL
Callaway,ELY,"Mon aftermarket",-43,2020-02-10,2020-02-10,AFH,20.21,19.48,20.58,18.83,20.86,19.98,20.04,17.48,-8.503401360544217,-0.29940119760478723,BEAR,NEUTRAL,-0.29940119760478723,NEUTRAL
Daimler,DDAIF,"Tue beforemarket",-18,2020-02-10,2020-02-11,PREMARKET,43.59,43.69,43.96,43.28,43.96,43.96,43.56,43.27,-1.5468607825295688,0.9182736455463747,NEUTRAL,NEUTRAL,0.9182736455463747,NEUTRAL
Under Armour,UAA,"Tue beforemarket",26,2020-02-10,2020-02-11,PREMARKET,20.44,17.08,20.45,16.59,20.8,17.47,20.21,16.5,-18.87530562347188,-13.55764473033153,BEAR,NEUTRAL,-13.55764473033153,BEAR
Hasbro,HAS,"Tue beforemarket",-1,2020-02-10,2020-02-11,PREMARKET,94.79,102.86,96.19,95.43,96.42,104.39,94.72,95.33,-0.7901029213015831,10.209037162162172,NEUTRAL,NEUTRAL,10.209037162162172,BULL
Hilton,HLT,"Tue beforemarket",-23,2020-02-10,2020-02-11,PREMARKET,110.25,110.27,111.2,112.77,111.2,114.88,109.98,108.85,1.4118705035971235,4.4553555191853,NEUTRAL,NEUTRAL,4.4553555191853,BULL
AutoNation,AN,"Tue beforemarket",-47,2020-02-10,2020-02-11,PREMARKET,43.25,48.0,43.73,46.49,43.77,48.64,43.03,45.02,6.311456665904425,13.03741575644899,BULL,NEUTRAL,13.03741575644899,BULL
Lyft,LYFT,"Tue aftermarket",30,2020-02-10,2020-02-11,AFH,54.49,51.25,53.94,48.46,54.5,51.3,52.92,48.42,-10.159436410826839,-3.0612244897959218,BEAR,NEUTRAL,-3.0612244897959218,BEAR
Denny's,DENN,"Tue aftermarket",27,2020-02-10,2020-02-11,AFH,21.13,21.46,21.34,20.31,21.44,22.1,21.13,19.78,-4.826616682286788,4.590629436819693,BEAR,NEUTRAL,4.590629436819693,BULL
Coors,TAP,"Wed beforemarket",-13,2020-02-10,2020-02-12,PREMARKET,57.19,59.96,56.98,54.47,57.6,60.79,56.81,54.46,-4.405054405054399,7.005808836472438,BEAR,NEUTRAL,7.005808836472438,BULL
CVS,CVS,"Wed beforemarket",-23,2020-02-10,2020-02-12,PREMARKET,70.65,71.48,70.68,70.59,70.95,72.02,70.28,69.53,-0.12733446519525016,2.4758110415480816,NEUTRAL,NEUTRAL,2.4758110415480816,BULL
Kering,PPRUY,"Wed beforemarket",14,2020-02-10,2020-02-12,PREMARKET,60.02,62.73,60.02,63.61,60.14,63.81,59.78,62.67,5.981339553482168,6.741385078621609,BULL,NEUTRAL,6.741385078621609,BULL
